Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
STRING,DOUBLE,INT,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,CAT
Pontiac Lemans V6,21.5,6,231,115,3245,15.4,79,US
Mercury Zephyr 6,19.8,6,200,85,2990,18.2,79,US
Ford Fairmont 4,22.3,4,140,88,2890,17.3,79,US
AMC Concord DL 6,20.2,6,232,90,3265,18.2,79,US
Dodge Aspen 6,20.6,6,225,110,3360,16.6,79,US
Chevrolet Caprice Classic,17,8,305,130,3840,15.4,79,US
Ford LTD Landau,17.6,8,302,129,3725,13.4,79,US
Mercury Grand Marquis,16.5,8,351,138,3955,13.2,79,US
Dodge St. Regis,18.2,8,318,135,3830,15.2,79,US
Buick Estate Wagon (sw),16.9,8,350,155,4360,14.9,79,US
Ford Country Squire (sw),15.5,8,351,142,4054,14.3,79,US
Chevrolet Malibu Classic (sw),19.2,8,267,125,3605,15,79,US
Chrysler Lebaron Town @ Country (sw),18.5,8,360,150,3940,13,79,US
Volkswagen Rabbit Custom,31.9,4,89,71,1925,14,79,Europe
Mazda GLC Deluxe,34.1,4,86,65,1975,15.2,79,Japan
Dodge Colt Hatchback Custom,35.7,4,98,80,1915,14.4,79,US
AMC Spirit DL,27.4,4,121,80,2670,15,79,US
Mercedes Benz 300d,25.4,5,183,77,3530,20.1,79,Europe
Cadillac Eldorado,23,8,350,125,3900,17.4,79,US
Peugeot 504,27.2,4,141,71,3190,24.8,79,Europe
Oldsmobile Cutlass Salon Brougham,23.9,8,260,90,3420,22.2,79,US
Plymouth Horizon,34.2,4,105,70,2200,13.2,79,US
Plymouth Horizon TC3,34.5,4,105,70,2150,14.9,79,US
Datsun 210,31.8,4,85,65,2020,19.2,79,Japan
Fiat Strada Custom,37.3,4,91,69,2130,14.7,79,Europe
Buick Skylark Limited,28.4,4,151,90,2670,16,79,US
Chevrolet Citation,28.8,6,173,115,2595,11.3,79,US
Oldsmobile Omega Brougham,26.8,6,173,115,2700,12.9,79,US
Pontiac Phoenix,33.5,4,151,90,2556,13.2,79,US
